Land,Big-Mac-Index (in US-Dollar)
Schweiz,7.29
Schweden,6.37
Norwegen,6.09
USA,5.66
Israel,5.35
Kanada,5.29
Eurozone,5.16
Australien,4.98
Dänemark,4.9
Neuseeland,4.87
Uruguay,4.8
Großbritannien,4.44
Singapur,4.43
Thailand,4.25
Tschechien,4.12
Südkorea,4.1
Chile,4.09
Vereinigte Arabische Emirate,4.02
Bahrain,3.98
Brasilien,3.98
Costa Rica,3.83
Kuwait,3.79
Argentinien,3.75
Kolumbien,3.74
Japan,3.74
Saudi Arabien,3.73
Sri Lanka,3.7
Kroatien,3.69
Honduras,3.61
Katar,3.57
Nicaragua,3.56
Polen,3.51
China,3.46
Pakistan,3.43
Peru,3.29
Jordanien,3.24
Guatemala,3.2
Ungarn,3.03
Philippinen,2.95
Moldawien,2.9
Vietnam,2.86
Oman,2.86
Ägypten,2.72
Mexiko,2.68
Hongkong,2.64
Indien,2.59
Taiwan,2.57
Rumänien,2.47
Malaysia,2.47
Indonesien,2.41
Aserbaidschan,2.32
Ukraine,2.2
Südafrika,2.16
Türkei,2.01
Russland,1.81
Libanon,1.77