Alter,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
0-15,272,291,313,289,277,275,278,273,277,260,240,261
15-30,329,330,320,288,311,329,335,357,305,320,309,311
30-35,248,191,229,221,199,213,249,204,224,206,197,226
35-40,374,330,332,345,346,308,336,316,318,326,328,402
40-45,486,458,508,504,497,469,458,495,454,473,461,540
45-50,856,803,855,859,803,798,791,806,766,761,770,836
50-55,1943,1697,1878,1714,1737,1645,1710,1652,1632,1687,1698,1815
55-60,3159,3002,3158,3029,3005,2902,2937,2977,2829,3068,3055,3402
60-65,4414,4166,4454,4213,4150,3914,4107,4133,3956,4234,4273,4922
65-70,5820,5520,6089,5638,5382,5155,5271,5537,5233,5607,5668,6604
70-75,6653,6224,6893,6603,6134,5905,5895,6300,6112,6580,6895,8534
75-80,11018,10459,11272,10860,9535,8986,9410,9625,9267,9680,10375,12742
80-85,16556,15783,17140,16772,14716,13924,14311,15494,14579,15743,17317,22460
85-90,15577,14530,16076,15569,13959,13143,13202,14477,13704,14762,16683,21929
90-95,12282,11487,12598,11993,10418,9958,10273,11328,10156,11389,12498,16834
95 u. mehr,4993,4759,5281,4933,4366,4235,4232,4768,4431,4685,5222,6974