#CO2-Ausstoß weltweit bis 2020,
#CO2-Emissionen weltweit in den Jahren 1960 bis 2020 (in Millionen Tonnen),
#Quelle: https://de.statista.com/statistik/daten/studie/37187/umfrage/der-weltweite-co2-ausstoss-seit-1751/#professional
Jahr,CO2-Emission
1960,9386.93
1965,11317.23
1970,14897.57
1975,17046.50
1980,19492.61
1985,20317.48
1990,22749.57
1995,23453.94
2000,25234.21
2005,29602.78
2010,33343.30
2011,34468.45
2012,34974.08
2013,35283.03
2014,35534.44
2015,35496.41
2016,35452.46
2017,35925.74
2018,36646.14
2019,36702.50
2020,34807.26