Region,Jahr,Population
Europe,1800,194785788
Europe,1801,195701162
Europe,1802,196628719
Europe,1803,197566517
Europe,1804,198514695
Europe,1805,199473387
Europe,1806,200442734
Europe,1807,201422884
Europe,1808,202413973
Europe,1809,203416152
Europe,1810,204833351
Europe,1811,206276272
Europe,1812,207900345
Europe,1813,209713078
Europe,1814,211597812
Europe,1815,213557595
Europe,1816,215595654
Europe,1817,217715377
Europe,1818,219920344
Europe,1819,222075640
Europe,1820,224174190
Europe,1821,226196059
Europe,1822,228138945
Europe,1823,229987586
Europe,1824,231867714
Europe,1825,233783315
Europe,1826,235779324
Europe,1827,237808621
Europe,1828,239871553
Europe,1829,241922614
Europe,1830,243965014
Europe,1831,245946409
Europe,1832,247903507
Europe,1833,249831849
Europe,1834,251776566
Europe,1835,253737784
Europe,1836,255715669
Europe,1837,257710364
Europe,1838,259722015
Europe,1839,261645428
Europe,1840,263485084
Europe,1841,265231144
Europe,1842,266893235
Europe,1843,268466616
Europe,1844,270056462
Europe,1845,271662834
Europe,1846,273285789
Europe,1847,274925387
Europe,1848,276581686
Europe,1849,278267428
Europe,1850,279988343
Europe,1851,281713860
Europe,1852,283474669
Europe,1853,285265239
Europe,1854,287073040
Europe,1855,288898177
Europe,1856,290740756
Europe,1857,292600889
Europe,1858,294478686
Europe,1859,296410600
Europe,1860,298403811
Europe,1861,300432016
Europe,1862,302521931
Europe,1863,304666854
Europe,1864,306830713
Europe,1865,309013674
Europe,1866,311215909
Europe,1867,313437586
Europe,1868,315678880
Europe,1869,317977607
Europe,1870,320343249
Europe,1871,322700200
Europe,1872,325181977
Europe,1873,327725453
Europe,1874,330294077
Europe,1875,332888107
Europe,1876,335507823
Europe,1877,338153488
Europe,1878,340825382
Europe,1879,343512376
Europe,1880,346224861
Europe,1881,348929570
Europe,1882,351659818
Europe,1883,354405276
Europe,1884,357177411
Europe,1885,359976492
Europe,1886,362802790
Europe,1887,365656565
Europe,1888,368538106
Europe,1889,371466412
Europe,1890,374454927
Europe,1891,377474877
Europe,1892,380556560
Europe,1893,383687964
Europe,1894,386850961
Europe,1895,390045897
Europe,1896,393273113
Europe,1897,396532959
Europe,1898,399825784
Europe,1899,403185896
Europe,1900,406629896
Europe,1901,410117085
Europe,1902,413688564
Europe,1903,417330587
Europe,1904,421010166
Europe,1905,424727733
Europe,1906,428482719
Europe,1907,432278569
Europe,1908,436112732
Europe,1909,439414124
Europe,1910,442200578
Europe,1911,444373917
Europe,1912,446048921
Europe,1913,447186295
Europe,1914,448347652
Europe,1915,449475992
Europe,1916,450563315
Europe,1917,451646629
Europe,1918,452735659
Europe,1919,454293081
Europe,1920,456440497
Europe,1921,458944944
Europe,1922,461995358
Europe,1923,465460151
Europe,1924,468963376
Europe,1925,472522223
Europe,1926,476105901
Europe,1927,479713624
Europe,1928,483365625
Europe,1929,486994645
Europe,1930,490628405
Europe,1931,494191548
Europe,1932,497747399
Europe,1933,501267150
Europe,1934,504812851
Europe,1935,508382799
Europe,1936,511978332
Europe,1937,515602758
Europe,1938,519232424
Europe,1939,522824630
Europe,1940,525992802
Europe,1941,528740902
Europe,1942,531196939
Europe,1943,533432475
Europe,1944,535796884
Europe,1945,537707230
Europe,1946,538899589
Europe,1947,540540048
Europe,1948,543024166
Europe,1949,545975196
Europe,1950,549824305
Europe,1951,554824889
Europe,1952,560200992
Europe,1953,565795393
Europe,1954,571490925
Europe,1955,577208734
Europe,1956,582910886
Europe,1957,588597687
Europe,1958,594302253
Europe,1959,600080197
Europe,1960,605981484
Europe,1961,612010436
Europe,1962,618113865
Europe,1963,624153050
Europe,1964,629945794
Europe,1965,635364163
Europe,1966,640347254
Europe,1967,644936792
Europe,1968,649234616
Europe,1969,653395774
Europe,1970,657534752
Europe,1971,661676963
Europe,1972,665791511
Europe,1973,669843077
Europe,1974,673774561
Europe,1975,677545210
Europe,1976,681155180
Europe,1977,684625058
Europe,1978,687959112
Europe,1979,691165026
Europe,1980,694253884
Europe,1981,697202619
Europe,1982,700021734
Europe,1983,702764499
Europe,1984,705505195
Europe,1985,708287880
Europe,1986,711134461
Europe,1987,714002661
Europe,1988,716793138
Europe,1989,719368319
Europe,1990,721627205
Europe,1991,723558978
Europe,1992,725190636
Europe,1993,726475543
Europe,1994,727366460
Europe,1995,727849824
Europe,1996,727893714
Europe,1997,727560614
Europe,1998,727050549
Europe,1999,726631490
Europe,2000,726503736
Europe,2001,726734626
Europe,2002,727291447
Europe,2003,728130218
Europe,2004,729162659
Europe,2005,730317947
Europe,2006,731594768
Europe,2007,733004672
Europe,2008,734500455
Europe,2009,736023880
Europe,2010,737528015
Europe,2011,738977880
Europe,2012,740362612
Europe,2013,741688141
Europe,2014,742972976
Europe,2015,744222365
Europe,2016,745441379
Europe,2017,746596841
Europe,2018,747608696
Europe,2019,748381389
Europe,2020,748843405
Europe,2021,748962983